"CÓDIGO CULTIVO","SEM","FECHA","PRODUCTO","VARIEDAD","FINCA","Sector","Semillero","BANDEJAS","MARCO","SUPERFICIE","Escandallo","Nº Plantas","LOTE","NºAlbarán","MUNICIPIO","POLIGONO","PARCELA","RECINTO","PRODUCTOR","TIPO","CICLO TEORICO","CICLO REAL","REND. TEORICO","REND.REAL","PREVISION RECOLECCION","RECO. REAL","DIFERENCIA"," 1ª OPORTUNIDAD COSECHA"," SEM 1ª OPORTUNIDAD COSECHA","OBSERVACIONES"
1890,32,"06/08/2025","APIO ECO","DEVIKA","BRAZO DE LA VIRGEN","1","SEMILLEROS EL MIRADOR, S.L.",33,"1x0.25 DOBLE","0,12","288.0",9504,"103192569-103282631","260060","19","28","54 - 56","6 - 2 - 3","AGRICOLA MARVIC","ECO",85,99,70000,"300266,666666667",8400,36032,27632,"30/10/2025",44,
1854,32,"06/08/2025","APIO ECO","BUFALO","BRAZO DE LA VIRGEN","2","SEMILLEROS EL MIRADOR, S.L.",319,"1x0.25 DOBLE","1,06","268.0",85492,"428/06300-31040525-2","260060","19","28","54 - 55 - 56","6 - 2 - 7 - 1 - 3","AGRICOLA MARVIC","ECO",85,135,70000,"85935,8490566038",74200,91092,16892,"30/10/2025",44,
1802,32,"06/08/2025","APIO ECO","DEVIKA","BRAZO DE LA VIRGEN","2","SEMILLEROS EL MIRADOR, S.L.",262,"1x0.25 DOBLE","0,94","288.0",75456,"103208443-103282623","260060","19 - ","28 - ","54 - 55 - 56 - ","6 - 2 - 7 - 1 - 3 - ","AGRICOLA MARVIC","ECO",85,119,70000,"57127,6595744681",65800,53700,-12100,"30/10/2025",44,
1805,33,"15/08/2025","APIO ECO","MONTEREY","BRAZO DE LA VIRGEN","5","SEMILLEROS EL MIRADOR, S.L.",101,"1x0.25 DOBLE","0,36","288.0",29088,"103215768-103282682","260169","19","28","56","3","AGRICOLA MARVIC","ECO",85,146,70000,"58194,4444444444",25200,20950,-4250,"08/11/2025",45,
1892,33,"15/08/2025","APIO ECO","MONTEREY","BRAZO DE LA VIRGEN","1","SEMILLEROS EL MIRADOR, S.L.",180,"1x0.25 DOBLE","0,65","288.0",51840,"103215768-103282682","260169","19","28","54 - 56","2 - 3 - 6 - 7","AGRICOLA MARVIC","ECO",85,145,70000,"68123,0769230769",45500,44280,-1220,"08/11/2025",45,
1891,33,"15/08/2025","APIO ECO","IMPERIAL","BRAZO DE LA VIRGEN","1","SEMILLEROS EL MIRADOR, S.L.",324,"1x0.25 DOBLE","0,99","240.0 - 282.0",79188,"103056283-103229116 - 103215768-103282682","260169","19","28","54 - 56","2 - 3 - 6","AGRICOLA MARVIC","ECO",85,130,70000,"44019,1919191919",69300,43579,-25721,"08/11/2025",45,
1856,35,"25/08/2025","BROCOLI ECO","NAXOS","LOS COLLADOS","4","SEMILLEROS EL MIRADOR, S.L.",230,"1X0.25","1,37","240.0",55200,"00178899 - 00129984","260180","19 - ","28 - ","12 - ","35 - 29 - 32 - ","AGRICOLA MARVIC","ECO",80,92,15000,"17446,7153284672",20550,23902,3352,"13/11/2025",46,
1804,35,"25/08/2025","BROCOLI ECO","NAXOS","BRAZO DE LA VIRGEN","4","SEMILLEROS EL MIRADOR, S.L.",122,"1X0.25","0,73","240.0",29280,"00129984","260180","19","28","54","6 - 5 - 4","AGRICOLA MARVIC","ECO",80,92,15000,"21804,1095890411",10950,15917,4967,"16/11/2025",46,
1803,35,"25/08/2025","BROCOLI ECO","NAXOS","BRAZO DE LA VIRGEN","3","SEMILLEROS EL MIRADOR, S.L.",166,"1X0.25","0,99","240.0",39840,"00129984","260180","19","28","54","6 - 5 - 4 - 2","AGRICOLA MARVIC","ECO",80,92,15000,"16077,7777777778",14850,15917,1067,"13/11/2025",46,
1889,35,"25/08/2025","BROCOLI ECO","NAXOS","BRAZO DE LA VIRGEN","5","SEMILLEROS EL MIRADOR, S.L.",152,"1X0.25","0,9","240.0",36480,"00129984","260180","19","28","56","3 - 2 - 7","AGRICOLA MARVIC","ECO",80,92,15000,"10093,3333333333",13500,9084,-4416,"13/11/2025",46,
